name,brand,price,ratings,specs_score,os,processor,ram_size,ram_type,storage,graphics,screen_size,resoultion,cores,threads,warranty_months
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),Acer,25499,"4,05",54.0,Windows 11 OS,11th Gen Intel Core i3 1115G4,8 GB,DDR4,512 GB SSD,Intel Iris Xe,14 inches,1920 x 1080 pixels,Dual Core, 4 Threads,12.0
Lenovo Legion Pro 5 16IAX10 83F3007CIN Gaming Laptop (Intel Core Ultra 7 255HX/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),Lenovo,189990,"4,15",60.69506172839506,Windows 11 OS,Intel Core Ultra 7 255HX,32 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 5060,16 inches,2560 x 1600 pixels,20 Cores (8P + 12E), 20 Threads,12.0
Dell Latitude 3550 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Dell,38990,"4,45",59.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB,DDR5,512 GB SSD,Intel Integrated UHD,15.6 inches,1366 x 768 pixels,Hexa Core (2P + 4E), 8 Threads,12.0
MSI Titan 18 HX AI A2XWJG-297IN Gaming Laptop (Intel Core Ultra 9-285HX/ 96GB/ 6TB SSD/ Win11 / 24GB Graphics RTX 5090),MSI,617990,"4,75",60.69506172839506,Windows 11 OS,Intel Core Ultra 9 285HX,96 GB,DDR5,6 TB SSD,24 GB NVIDIA GeForce RTX 5090,18 inches,3840 x 2400 pixels,24 Cores (8P + 16E), 24 Threads,12.0
Dell Inspiron 14 5440 Business Laptop (Intel Core i3-1305U/ 8GB/ 512GB SSD/ Ubuntu),Dell,31990,"4,35",60.69506172839506,Ubuntu OS,13th Gen Intel Core i3 1305U,8 GB,Standard,512 GB SSD,Intel Graphics,14 inches,1920 x 1200 pixels,5 Cores (1P + 4E), 6 Threads,12.0
HP 255 G10 Laptop (AMD Ryzen 3 7330U/ 16GB/ 1TB SSD/ Win11),HP,36250,"4,4",57.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,16 GB,DDR4,1 TB SSD,Integrated AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11),Lenovo,46290,"4,75",65.0,Windows 11 OS,7th Gen AMD Ryzen 5 7535HS,16 GB,DDR5,512 GB SSD,Integrated AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Hexa Core, 12 Threads,12.0
Dell Inspiron 15 3535 Laptop (AMD Ryzen R5-7530U/ 16GB/ 512GB SSD/ Win11),Dell,41994,"4,45",52.0,Windows 11 OS,7th Gen AMD Ryzen 5 7530U,16 GB,Standard,512 GB SSD,Integrated AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,12.0
Acer Aspire 3 A311-45 UN.354SI.006 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Win11),Acer,15990,"4,7",60.69506172839506,Windows 11 OS,Intel Celeron N4500,8 GB,DDR4,128 GB SSD,Intel Integrated UHD,15.6 inches,1366 x 768 pixels,Dual Core, 2 Threads,12.0
Asus Vivobook 16X K3605ZF-RP258WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,54990,"4,05",66.0,Windows 11 OS,12th Gen Intel Core i5 12500H,16 GB,DDR4,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,16 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 16 Threads,12.0
Dell Inspiron 3535 Laptop (AMD Ryzen R3-7320U/ 8GB/ 512GB SSD/ Win11),Dell,28990,"4,5",50.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,8 GB,LPDDR5,512 GB SSD,Integrated AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
MSI Katana 15 HX B14WEK 9S7-1587C1-264 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB RTX 5050 Graph),MSI,127990,4,79.0,Windows 11 OS,14th Gen Intel Core i9 14900HX,16 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,15.6 inches,2560 x 1440 pixels,24 Cores (8P + 16E), 32 Threads,24.0
